TV,Radio,Newspaper,Sales
230.100000,37.800000,69.200000,22.100000
44.500000,39.300000,45.100000,10.400000
17.200000,45.900000,69.300000,9.300000
151.500000,41.300000,58.500000,18.500000
180.800000,10.800000,58.400000,12.900000
8.700000,48.900000,75.000000,7.200000
57.500000,32.800000,23.500000,11.800000
120.200000,19.600000,11.600000,13.200000
8.600000,2.100000,1.000000,4.800000
199.800000,2.600000,21.200000,10.600000
66.100000,5.800000,24.200000,8.600000
214.700000,24.000000,4.000000,17.400000
23.800000,35.100000,65.900000,9.200000
97.500000,7.600000,7.200000,9.700000
204.100000,32.900000,46.000000,19.000000
195.400000,47.700000,52.900000,22.400000
67.800000,36.600000,114.000000,12.500000
281.400000,39.600000,55.800000,24.400000
69.200000,20.500000,18.300000,11.300000
147.300000,23.900000,19.100000,14.600000
218.400000,27.700000,53.400000,18.000000
237.400000,5.100000,23.500000,12.500000
13.200000,15.900000,49.600000,5.600000
228.300000,16.900000,26.200000,15.500000
62.300000,12.600000,18.300000,9.700000
262.900000,3.500000,19.500000,12.000000
142.900000,29.300000,12.600000,15.000000
240.100000,16.700000,22.900000,15.900000
248.800000,27.100000,22.900000,18.900000
70.600000,16.000000,40.800000,10.500000
292.900000,28.300000,43.200000,21.400000
112.900000,17.400000,38.600000,11.900000
97.200000,1.500000,30.000000,9.600000
265.600000,20.000000,0.300000,17.400000
95.700000,1.400000,7.400000,9.500000
290.700000,4.100000,8.500000,12.800000
266.900000,43.800000,5.000000,25.400000
74.700000,49.400000,45.700000,14.700000
43.100000,26.700000,35.100000,10.100000
228.000000,37.700000,32.000000,21.500000
202.500000,22.300000,31.600000,16.600000
177.000000,33.400000,38.700000,17.100000
293.600000,27.700000,1.800000,20.700000
206.900000,8.400000,26.400000,12.900000
25.100000,25.700000,43.300000,8.500000
175.100000,22.500000,31.500000,14.900000
89.700000,9.900000,35.700000,10.600000
239.900000,41.500000,18.500000,23.200000
227.200000,15.800000,49.900000,14.800000
66.900000,11.700000,36.800000,9.700000
199.800000,3.100000,34.600000,11.400000
100.400000,9.600000,3.600000,10.700000
216.400000,41.700000,39.600000,22.600000
182.600000,46.200000,58.700000,21.200000
262.700000,28.800000,15.900000,20.200000
198.900000,49.400000,60.000000,23.700000
7.300000,28.100000,41.400000,5.500000
136.200000,19.200000,16.600000,13.200000
210.800000,49.600000,37.700000,23.800000
210.700000,29.500000,9.300000,18.400000
